,Samples,Group,Passive,Corner,NSS,T2,DTI_Cortex,DTI_BG,DTI_Hippo,DKI_Cortex,DKI_BG,DKI_Hippo,DTI_BG_0.8,DTI_BG_dif,NOR
1,S1,Sham,300,1,0,0,1,1,1,1,1,1,1,0,215
2,S2,Sham,295,1,0,0,1,1,1,1,1,1,1,0,187
3,S3,Sham,286,1,0,0,1,1,1,1,1,1,1,0,237
4,S4,Sham,300,1,0,0,1,1,1,1,1,1,1,0,240
5,PBSNR6,PBS_NR,16,1.666667,4,56.5437,0.928,0.795,0.615,1.018,1.446,1.763,0,0.0218509,93
6,PBSNR9,PBS_NR,16,1.5,4,44.92105,0.943,1.078,0.667,1.107,1.067,1.804,1,0.385604113,112
7,PBSNR13,PBS_NR,165,1.5,4,26.69993,0.909,0.77,0.862,1.057,0.996,1.736,0,-0.010282776,123
8,PBSNR17,PBS_NR,164,1.363636,3,22.05759,0.989,0.684,0.648,1.263,1.629,1.485,0,-0.120822622,120
9,PBSNR18,PBS_NR,143,1.875,2,17.65296,0.867,0.563,0.59,1.057,1.908,1.473,0,-0.276349614,118
10,PBSR2,PBS_R,135,1.335,3,8.493116,1.02,1.048,1.018,1.069,1.325,1.62,1,0.347043702,102
11,PBSR12,PBS_R,90,1.5,3,34.84802,1.012,1.037,0.983,1.068,1.176,1.58,1,0.332904884,136
12,PBSR14,PBS_R,124,1.5,2,39.971,0.994,0.921,0.634,1.091,1.48,1.855,1,0.183804627,133
13,PBSR19,PBS_R,240,1.222222,3,7.49004,0.966,0.939,0.569,1.12,1.66,1.188,1,0.206940874,106
14,fHNR1,fH_NR,121,1.3,1,0.001,0.941,0.944,1,1.102,0.976,1.152,1,0.213367609,187
15,fHNR4,fH_NR,300,1.2,2,1.710477,0.913,0.799,0.658,1.03,1.158,0.963,0,0.026992288,183
16,fHNR5,fH_NR,300,1.3,1,0.532365,0.977,0.907,0.963,1.088,0.906,0.965,1,0.165809769,197
17,fHNR10,fH_NR,295,1.5,1,0,1.017,0.963,0.8,1.111,1.064,1.506,1,0.237789203,191
17,fHNR20,fH_NR,300,1.2,3,15.30494,1.026,1.001,0.977,1.045,1.111,1.059,1,0.286632391,237
19,fHR7,fH_R,275,1,2,4.652173,0.91,0.857,0.507,0.9,1.314,1.925,1,0.101542416,236
20,fHR8,fH_R,300,1.22,1,1.830802,0.989,0.959,1.006,0.979,0.943,1.163,1,0.232647815,189
21,fHR11,fH_R,245,1.1,0,0.029466,0.906,0.922,1.075,0.979,0.922,0.8,1,0.185089974,248
22,fHR15,fH_R,300,1,1,1.402079,0.927,0.959,0.695,1.001,1.098,1.66,1,0.232647815,221
23,fHR24,fH_R,300,1,1,0.001,0.935,1.02,1.037,1.027,1.143,0.888,1,0.311053985,209